base_run_id,attack_dataset_id,attack_type,attacker_ratio,num_attackers,overlay_rows,synthetic_rows,attack_start_time,output
run_001001,run_001001__acceleration_manipulation_10,acceleration_manipulation,0.1,,23151,0,120.0,dataset/overlays/run_001001/acceleration_manipulation_10/attack_overlay.csv
run_001001,run_001001__acceleration_manipulation_20,acceleration_manipulation,0.2,,50242,0,120.0,dataset/overlays/run_001001/acceleration_manipulation_20/attack_overlay.csv
run_001001,run_001001__acceleration_manipulation_30,acceleration_manipulation,0.3,,74456,0,120.0,dataset/overlays/run_001001/acceleration_manipulation_30/attack_overlay.csv
run_001001,run_001001__acceleration_manipulation_5,acceleration_manipulation,0.05,,13026,0,120.0,dataset/overlays/run_001001/acceleration_manipulation_5/attack_overlay.csv
run_001001,run_001001__beacon_rate_abuse_10,beacon_rate_abuse,0.1,,59256,29628,120.0,dataset/overlays/run_001001/beacon_rate_abuse_10/attack_overlay.csv
run_001001,run_001001__beacon_rate_abuse_20,beacon_rate_abuse,0.2,,89440,44720,120.0,dataset/overlays/run_001001/beacon_rate_abuse_20/attack_overlay.csv
run_001001,run_001001__beacon_rate_abuse_30,beacon_rate_abuse,0.3,,170588,85294,120.0,dataset/overlays/run_001001/beacon_rate_abuse_30/attack_overlay.csv
run_001001,run_001001__beacon_rate_abuse_5,beacon_rate_abuse,0.05,,23474,11737,120.0,dataset/overlays/run_001001/beacon_rate_abuse_5/attack_overlay.csv
run_001001,run_001001__constant_position_10,constant_position,0.1,,24652,0,120.0,dataset/overlays/run_001001/constant_position_10/attack_overlay.csv
run_001001,run_001001__constant_position_20,constant_position,0.2,,47094,0,120.0,dataset/overlays/run_001001/constant_position_20/attack_overlay.csv
run_001001,run_001001__constant_position_30,constant_position,0.3,,78799,0,120.0,dataset/overlays/run_001001/constant_position_30/attack_overlay.csv
run_001001,run_001001__constant_position_5,constant_position,0.05,,11617,0,120.0,dataset/overlays/run_001001/constant_position_5/attack_overlay.csv
run_001001,run_001001__delayed_message_10,delayed_message,0.1,,27538,0,120.0,dataset/overlays/run_001001/delayed_message_10/attack_overlay.csv
run_001001,run_001001__delayed_message_20,delayed_message,0.2,,54147,0,120.0,dataset/overlays/run_001001/delayed_message_20/attack_overlay.csv
run_001001,run_001001__delayed_message_30,delayed_message,0.3,,76214,0,120.0,dataset/overlays/run_001001/delayed_message_30/attack_overlay.csv
run_001001,run_001001__delayed_message_5,delayed_message,0.05,,14633,0,120.0,dataset/overlays/run_001001/delayed_message_5/attack_overlay.csv
run_001001,run_001001__eventual_stop_10,eventual_stop,0.1,,24247,0,120.0,dataset/overlays/run_001001/eventual_stop_10/attack_overlay.csv
run_001001,run_001001__eventual_stop_20,eventual_stop,0.2,,53234,0,120.0,dataset/overlays/run_001001/eventual_stop_20/attack_overlay.csv
run_001001,run_001001__eventual_stop_30,eventual_stop,0.3,,78011,0,120.0,dataset/overlays/run_001001/eventual_stop_30/attack_overlay.csv
run_001001,run_001001__eventual_stop_5,eventual_stop,0.05,,12030,0,120.0,dataset/overlays/run_001001/eventual_stop_5/attack_overlay.csv
run_001001,run_001001__false_brake_event_10,false_brake_event,0.1,,29407,0,120.0,dataset/overlays/run_001001/false_brake_event_10/attack_overlay.csv
run_001001,run_001001__false_brake_event_20,false_brake_event,0.2,,49257,0,120.0,dataset/overlays/run_001001/false_brake_event_20/attack_overlay.csv
run_001001,run_001001__false_brake_event_30,false_brake_event,0.3,,74921,0,120.0,dataset/overlays/run_001001/false_brake_event_30/attack_overlay.csv
run_001001,run_001001__false_brake_event_5,false_brake_event,0.05,,13508,0,120.0,dataset/overlays/run_001001/false_brake_event_5/attack_overlay.csv
run_001001,run_001001__false_emergency_vehicle_10,false_emergency_vehicle,0.1,,25542,0,120.0,dataset/overlays/run_001001/false_emergency_vehicle_10/attack_overlay.csv
run_001001,run_001001__false_emergency_vehicle_20,false_emergency_vehicle,0.2,,57782,0,120.0,dataset/overlays/run_001001/false_emergency_vehicle_20/attack_overlay.csv
run_001001,run_001001__false_emergency_vehicle_30,false_emergency_vehicle,0.3,,70181,0,120.0,dataset/overlays/run_001001/false_emergency_vehicle_30/attack_overlay.csv
run_001001,run_001001__false_emergency_vehicle_5,false_emergency_vehicle,0.05,,16099,0,120.0,dataset/overlays/run_001001/false_emergency_vehicle_5/attack_overlay.csv
run_001001,run_001001__false_hazard_event_10,false_hazard_event,0.1,,22831,0,120.0,dataset/overlays/run_001001/false_hazard_event_10/attack_overlay.csv
run_001001,run_001001__false_hazard_event_20,false_hazard_event,0.2,,52926,0,120.0,dataset/overlays/run_001001/false_hazard_event_20/attack_overlay.csv
run_001001,run_001001__false_hazard_event_30,false_hazard_event,0.3,,77180,0,120.0,dataset/overlays/run_001001/false_hazard_event_30/attack_overlay.csv
run_001001,run_001001__false_hazard_event_5,false_hazard_event,0.05,,15159,0,120.0,dataset/overlays/run_001001/false_hazard_event_5/attack_overlay.csv
run_001001,run_001001__false_object_injection_10,false_object_injection,0.1,,28547,0,120.0,dataset/overlays/run_001001/false_object_injection_10/attack_overlay.csv
run_001001,run_001001__false_object_injection_20,false_object_injection,0.2,,60601,0,120.0,dataset/overlays/run_001001/false_object_injection_20/attack_overlay.csv
run_001001,run_001001__false_object_injection_30,false_object_injection,0.3,,73605,0,120.0,dataset/overlays/run_001001/false_object_injection_30/attack_overlay.csv
run_001001,run_001001__false_object_injection_5,false_object_injection,0.05,,9201,0,120.0,dataset/overlays/run_001001/false_object_injection_5/attack_overlay.csv
run_001001,run_001001__flooding_ddos_10,flooding_ddos,0.1,,123120,98496,120.0,dataset/overlays/run_001001/flooding_ddos_10/attack_overlay.csv
run_001001,run_001001__flooding_ddos_20,flooding_ddos,0.2,,283165,226532,120.0,dataset/overlays/run_001001/flooding_ddos_20/attack_overlay.csv
run_001001,run_001001__flooding_ddos_30,flooding_ddos,0.3,,421470,337176,120.0,dataset/overlays/run_001001/flooding_ddos_30/attack_overlay.csv
run_001001,run_001001__flooding_ddos_5,flooding_ddos,0.05,,77635,62108,120.0,dataset/overlays/run_001001/flooding_ddos_5/attack_overlay.csv
run_001001,run_001001__ghost_vehicle_10,ghost_vehicle,0.1,,56306,28153,120.0,dataset/overlays/run_001001/ghost_vehicle_10/attack_overlay.csv
run_001001,run_001001__ghost_vehicle_20,ghost_vehicle,0.2,,102564,51282,120.0,dataset/overlays/run_001001/ghost_vehicle_20/attack_overlay.csv
run_001001,run_001001__ghost_vehicle_30,ghost_vehicle,0.3,,155148,77574,120.0,dataset/overlays/run_001001/ghost_vehicle_30/attack_overlay.csv
run_001001,run_001001__ghost_vehicle_5,ghost_vehicle,0.05,,20808,10404,120.0,dataset/overlays/run_001001/ghost_vehicle_5/attack_overlay.csv
run_001001,run_001001__gnss_spoofing_10,gnss_spoofing,0.1,,26438,0,120.0,dataset/overlays/run_001001/gnss_spoofing_10/attack_overlay.csv
run_001001,run_001001__gnss_spoofing_20,gnss_spoofing,0.2,,52696,0,120.0,dataset/overlays/run_001001/gnss_spoofing_20/attack_overlay.csv
run_001001,run_001001__gnss_spoofing_30,gnss_spoofing,0.3,,78081,0,120.0,dataset/overlays/run_001001/gnss_spoofing_30/attack_overlay.csv
run_001001,run_001001__gnss_spoofing_5,gnss_spoofing,0.05,,14742,0,120.0,dataset/overlays/run_001001/gnss_spoofing_5/attack_overlay.csv
run_001001,run_001001__heading_manipulation_10,heading_manipulation,0.1,,26196,0,120.0,dataset/overlays/run_001001/heading_manipulation_10/attack_overlay.csv
run_001001,run_001001__heading_manipulation_20,heading_manipulation,0.2,,59478,0,120.0,dataset/overlays/run_001001/heading_manipulation_20/attack_overlay.csv
run_001001,run_001001__heading_manipulation_30,heading_manipulation,0.3,,75774,0,120.0,dataset/overlays/run_001001/heading_manipulation_30/attack_overlay.csv
run_001001,run_001001__heading_manipulation_5,heading_manipulation,0.05,,9448,0,120.0,dataset/overlays/run_001001/heading_manipulation_5/attack_overlay.csv
